id,name,category,sector,constituent_gases
building_materials-type_insulation_closed_loop_source,Insulation (Closed-loop source),Building Materials,Materials and Manufacturing,"{'co2e_total': 1852.088775, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_insulation_closed_loop_source,Insulation (Closed-loop source),Building Materials,Materials and Manufacturing,"{'co2e_total': 1852.08089, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_insulation_primary_material_production,Insulation (Primary material production),Building Materials,Materials and Manufacturing,"{'co2e_total': 1861.758902, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_insulation_primary_material_production,Insulation (Primary material production),Building Materials,Materials and Manufacturing,"{'co2e_total': 1861.75102, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_plasterboard_closed_loop_source,Plasterboard (Closed-loop source),Building Materials,Materials and Manufacturing,"{'co2e_total': 32.17, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_plasterboard_closed_loop_source,Plasterboard (Closed-loop source),Building Materials,Materials and Manufacturing,"{'co2e_total': 32.17, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_plasterboard_primary_material_production,Plasterboard (Primary material production),Building Materials,Materials and Manufacturing,"{'co2e_total': 120.05, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
building_materials-type_plasterboard_primary_material_production,Plasterboard (Primary material production),Building Materials,Materials and Manufacturing,"{'co2e_total': 120.05, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
plastics_rubber-type_average_plastics_film_open_loop_source,Average plastic film (Open-loop source),Plastics and Rubber Products,Materials and Manufacturing,"{'co2e_total': 600.0, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
plastics_rubber-type_average_plastics_open_loop_source,Average plastics (Open-loop source),Plastics and Rubber Products,Materials and Manufacturing,"{'co2e_total': 600.0, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
consumer_goods-type_domestic_cleaning_materials,Domestic cleaning materials,Furnishings and Household,Consumer Goods and Services,"{'co2e_total': 0.083, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
mined_materials-type_mineral_oil_closed_loop_source,Mineral oil (Closed-loop source),Mined Materials,Materials and Manufacturing,"{'co2e_total': 676.0, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
mined_materials-type_mineral_oil_closed_loop_source,Mineral oil (Closed-loop source),Mined Materials,Materials and Manufacturing,"{'co2e_total': 676.0, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
paper_and_cardboard-type_mixed_closed_loop_source,Mixed (Closed-loop source),Paper and Cardboard,Materials and Manufacturing,"{'co2e_total': 731.2767275, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
paper_and_cardboard-type_mixed_closed_loop_source,Mixed (Closed-loop source),Paper and Cardboard,Materials and Manufacturing,"{'co2e_total': 731.67375, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
mined_materials-type_mineral_oil_primary_material_production,Mineral oil (Primary material production),Mined Materials,Materials and Manufacturing,"{'co2e_total': 1401.0, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
mined_materials-type_mineral_oil_primary_material_production,Mineral oil (Primary material production),Mined Materials,Materials and Manufacturing,"{'co2e_total': 1401.0, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.3759, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.4466, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.531, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 1.0626, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.4226, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.6493, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.6808, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 1.1436, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.6289, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.6754, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.3286, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.2369, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 1.083, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.6821, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.4313, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.1899, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.5009, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.6715, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.5374, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.6111, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 1.025, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.298, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 2.996, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.3214, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
timber_forestry-type_products_of_wood_cork_straw_plaiting_materials,Wood and products of wood/cork/straw/plaiting materials,Timber and Forestry Products,Agriculture/Hunting/Forestry/Fishing,"{'co2e_total': 0.3879, 'co2e_other': None, 'co2': None, 'ch4': None, 'n2o': None}"
